title,authors,journal,date,cites number,abstract,significant relationship,conclusion,suggestion
Hydraulic Performance of a Residential Stormwater Infiltration Gallery,"Jennings A.A., Baker K.",Journal of Environmental Engineering (United States),2016-03-01,1,"Copyright, 2015 American Society of Civil Engineers. An increasing number of municipalities are encouraging homeowners to implement on-site residential stormwater management. In some communities, this encouragement takes the form of a stormwater utility fee or rain tax that may be reduced if homeowners take measures to reduce runoff. The most commonly cited techniques for reducing runoff are disconnecting downspouts or installing rain barrels, rain gardens, or permeable pavements. The analysis presented here examines the hydraulic performance of the less commonly recommended residential stormwater infiltration gallery designed to reduce off-site runoff from roof gutters. Case study simulation results based on a 10-year precipitation record for Cleveland, Ohio, indicate that a 30-m (100-ft) infiltration gallery sitting atop soil with a modest infiltration rate of 0.64 cm/h (0.25 in./h) could attain a single downspout roof service-area runoff reduction of 90%, and a 61-m (200-ft) gallery could attain a whole roof runoff reduction of more than 85%. This performance is superior to that expected from rain barrels or modest-size rain gardens, and the operation-free and low-maintenance gallery would address many of the concerns often expressed by homeowners about other stormwater-management options.",None,None,None
Significant Reduction of Fecal Bacteria and Suspended Solids Loading by Coastal Best Management Practices,"Mallin M.A., Turner M.I.H., McIver M.R., Toothman B.R., Freeman H.C.",Journal of Coastal Research,2016-07-01,0,"Copyright,  Town of Wrightsville Beach, North Carolina, is a resort island that has periodic stormwater runoff problems, affecting local swimming and shellfishing waters from excessive fecal bacteria loading. In 2013-15, the planning, installation, and before-and-after monitoring of several types of best management practices (BMPs) designed to reduce pollutant loading to estuarine waters occurred. A straight pipe carrying runoff directly into estuarine Banks Channel was replaced by a buried infiltration chamber. The infiltration chamber did not reduce fecal bacteria concentrations but caused 93% stormwater discharge reduction, 96% fecal bacteria, 90% Enterococcus load reductions, and a 99% total suspended solids (TSS) load reduction to Banks Channel. Near the town's municipal area a number of curb cuts, reversed stormwater inlets, and regraded grassed swales were constructed to encourage infiltration of stormwater into the sandy soils of the island. Also in that area a large rain garden was constructed to collect and infiltrate stormwater that formerly drained directly into estuarine Lee's Cut. The set of stormwater volume reduction and treatment BMPs in the municipal area caused fecal coliform bacteria and Enterococcus concentration reductions of 57% and 71%, respectively, 50% stormwater discharge reduction, 28-55% fecal bacteria load reductions, and 99% TSS load reduction. The pollutant concentration and load decreases in the municipal area of Wrightsville Beach are particularly striking because the BMPs only capture about 50% of the runoff from the drainage area that enters the outfall into Lee's Cut. The BMPs installed and tested would be applicable to developed coastal areas in numerous locations.",None,None,None
Green Stormwater Infrastructure Investment Model for Philadelphia's Wingohocking Sewershed,"McGarity E., Szalay S., Cohen J.","World Environmental And Water Resources Congress 2016: Water, Wastewater, and Stormwater and Urban Watershed Symposium - Papers from Sessions of the Proceedings of the 2016 World Environmental and Water Resources Congress",2016-01-01,0,"Copyright, ASCE. Municipalities are turning to green infrastructure (GI) as an attractive solution for combined sewer overflow (CSO) control. Given the myriad combinations of GI implementation options, decision makers need tools to optimize investments. Multiobjective models hold significant promise for developing GI investment portfolios, but need to be developed and tested under real world conditions. We present models for estimating GI costs and for optimizing deployment of GI practices applied to a Piedmont sewershed in Philadelphia's CSO area."," Multiobjective models hold significant promise for developing GI investment portfolios, but need to be developed and tested under real world conditions",None,None
Identifying Potential Areas for SUDS Application in Consolidated Urban Watersheds Based on GIS,"Avila H., Amaris G., Buelvas J.","World Environmental And Water Resources Congress 2016: Water, Wastewater, and Stormwater and Urban Watershed Symposium - Papers from Sessions of the Proceedings of the 2016 World Environmental and Water Resources Congress",2016-01-01,0,"Copyright, ASCE. Gray stormwater infrastructure has a specific hydraulic capacity, which tends to get undersized when receiving the incremental input flow rate coming from new developed areas or from changes in the land use. Implementing sustainable urban drainage systems - SUDS in consolidated urban watersheds is a feasible alternative that allows managing stormwater runoff combined with the traditional infrastructure. However, its use on a massive scale in cities is a challenge for urban planning. This article shows the results from a research oriented to identifying potential areas for applying SUDS as a support for urban planning in order to define strategies for potential application of rain gardens, permeable paving, storage tanks and green roofs by using models from GIS. A case study was conducted to 10 watersheds in Barranquilla (Colombia), which has severe stormwater issues related to runoff volume and peak flow, and where SUDS may be a feasible alternative for runoff management. Physical conditions of the watershed, such as the type of soil, the water table and slope, socio-economic characteristics, land use and other environmental variables were analyzed in a decision making framework model implemented in GIS. The results allowed defining criteria for prioritizing by type of SUDS and location area in order to help ensuring their general effectiveness on the urban watersheds.",None,None,None
Phosphorus removal in constructed stormwater wetland mesocosms amended with water treatment residuals,"Vacca K., Komlos J., Wadzuk B.M.",Water Environment Research,2016-09-01,0,"Copyright, 2016, Water Environment Federation. All rights reserved. Constructed stormwater wetlands (CSWs) reduce stormwater volume and improve water quality. One quality improvement is the removal of soluble reactive phosphorus (SRP). There has been limited study on SRP fate and transport or on the mechanisms to improve SRP removal due to the difficulty in quantifying the complex, spatially heterogeneous removal processes in two-dimensional flow. The present research analyzed the ability of wetland soil (Control) and wetland soil amended with 2%, 5%, and 8% (by mass) of aluminum-based water treatment residuals (AlWTRs) to remove SRP in surface-flow vegetated CSW mesocosms. Batch adsorption experiments showed increasing SRP sorption capacity with increased AlWTR content (590-850 mg/kg soil) compared to the Control (385 mg/kg soil); however, AlWTR-amended flowing mesocosms removed only 6.0-8.8 mg/kg SRP compared to 9.3 mg/kg SRP for the Control. The lack of increased SRP removal in AlWTR-amended mesocosms was attributed to flow dynamics (only 20% of the surface outflow was quantified as subsurface flow). These results suggest the extent of infiltration versus surface flow is key to soil amendments improving SRP removal in a CSW.",None,None, These results suggest the extent of infiltration versus surface flow is key to soil amendments improving SRP removal in a CSW
"Distributed stormwater controls for flood mitigation within urbanized watersheds: Case study of Rocky Branch Watershed in Columbia, South Carolina","Morsy M.M., Goodall J.L., Shatnawi F.M., Meadows M.E.",Journal of Hydrologic Engineering,2016-11-01,0,"Copyright, 2016 American Society of Civil Engineers. For highly urbanized watersheds where space is limited, distributed low impact development (LID) stormwater controls could offer an effective retrofit to address flooding problems. The goal of this study is to determine the feasibility of using distributed LID controls within an urbanized watershed for flood mitigation. The Rocky Branch Watershed in Columbia, South Carolina, is an excellent case study because it experiences flash floods almost annually and has limited space for traditional, centralized stormwater controls to mitigate these floods. The Storm Water Management Model (SWMM) was used to model flooding with rain gardens as the LID approach for flood mitigation owing to their storage potential. The results of the study suggest that rain gardens with 30-cm berm heights and a total area equal to 20% of the impervious surfaces within the watershed should provide sufficient storage to mitigate flooding for rain events up to and including a 10-year storm event. Once sufficient storage is available, the challenge is diverting runoff generated from impervious surfaces into rain gardens. The results of this study suggest approximately 15, 27, and 38% of the runoff generated from impervious surfaces should be diverted to rain gardens to mitigate flooding from 2-, 5-, and 10-year storm events, respectively. Given prior work on the adoption of LID approaches for other watersheds, rain gardens could be effective at mitigating up to a 5-year storm event within the watershed, although further research on possible adoption rates in the study watershed is needed to more fully support this conclusion.",None," Given prior work on the adoption of LID approaches for other watersheds, rain gardens could be effective at mitigating up to a 5-year storm event within the watershed, although further research on possible adoption rates in the study watershed is needed to more fully support this conclusion", The results of the study suggest that rain gardens with 30-cm berm heights and a total area equal to 20% of the impervious surfaces within the watershed should provide sufficient storage to mitigate flooding for rain events up to and including a 10-year storm event
Water Balance of Soil Mixes for Rain Gardens,"Hess A., Delvecchio T., Welker A., Wadzuk B.M.","World Environmental And Water Resources Congress 2016: Water, Wastewater, and Stormwater and Urban Watershed Symposium - Papers from Sessions of the Proceedings of the 2016 World Environmental and Water Resources Congress",2016-01-01,0,"Copyright, ASCE. Rain gardens have proven to be an effective means to control stormwater; thus, in Pennsylvania's Stormwater Best Management Practice's Manual, rain gardens are the preferred stormwater control measure (SCM). Currently, volume capture in Pennsylvania is calculated using a static bowl equation that does not include the dynamics of infiltration and evapotranspiration (ET). In addition, many states' design guidelines for rain garden soil mixes are often restrictive and vague. The goal of the work described in this paper is to develop guidelines for soil mixes that consider the balance of infiltration and ET using bench-scale experiments at Villanova University. A total of twelve discrete weighing lysimeters were filled with soils that span the lower portion the USDA classification triangle. The lysimeters were divided evenly into two flow path configurations: vertical 46 cm deep columns and horizontal 20 cm deep boxes at a 2.5% slope. Both lysimeter configurations utilized loamy sand, sandy loam (typical rain garden mix in PA), loam, silt loam, and clay loam soils. Switchgrass was planted in all but two lysimeters to provide a non-vegetated control with sandy loam soil. Runoff was added into the lysimeters during rainfall events to simulate actual rain garden performance and the lysimeters were weighed daily for two weeks after the event. Preliminary results of five storm simulations provide an average ET rate of 3.3 mm/day for the vertical lysimeters and 2.6 mm/day for the horizontal lysimeters. In the vertical configuration the silt loam soil produces the most volume removal through ET at 44% of the total volume removal with an average ET rate of 4.2 mm/day. In contrast, the loamy sand soil produces the least volume removal through ET at 25% of the total volume removal.",None,None,None
"The performance of gross pollutant trap for water quality preservation: a real practical application at the Klang Valley, Malaysia","Sidek L., Basri H., Lee L.K., Foo K.Y.",Desalination and Water Treatment,2016-11-07,0,"Copyright, � 2016 Balaban Desalination Publications. All rights reserved. The performance of a gross pollutant trap (GPT) was investigated at 51 catchments of the most polluted river in Malaysia, Klang River and its major attributes, Gisir River, Kemensah River, and Sering River for the entrapment of gross pollutants over the operation period of 10 months. The specific characteristics of gross pollutants generated from the different catchments were measured, and sorted into litter classification. The wet loads collected at the catchments ranged between 14 and 111Â kg/ha, with majority of them was contributed by a significant amount of sediment and plastic. The water quality at the inflow and outflow channels was examined. GPT responded effectively for chemical oxygen demand, biological oxygen demand, ammonical nitrogen, and total suspended solids removal, reaching the maximum removal of 88, 94, 94, and 97%, respectively. The water quality index of the influent river water falls in Class V, derived as “very polluted,” while the downstream river water lies in the intermediate between Class IV and III, defined as “polluted” and “average,” respectively. These findings strongly supported the real practical applications of GPTs for the effective management and preservation of urban river systems."," The wet loads collected at the catchments ranged between 14 and 111Â kg/ha, with majority of them was contributed by a significant amount of sediment and plastic",None,None
Rainwater catchment system as groundwater recharge in Semarang city residential area,"Qudus N., Sunjoto, Luknanto D., Sudibyakto",International Journal of Ecology and Development,2016-01-01,0,"Copyright, 2016 IJED. Environmental damage which leads to the deterioration of groundwater supply potential is caused by changes in land use especially in the area of groundwater recharge. The aim of this present study is to create a model of the mapping of the local housing distribution which is suitable as rainwater catchment system as groundwater recharge. Spatial approach method was used in this study. The measurement of the soil permeability coefficient, soil layer structure, the surface depth of the groundwater with the number of locations as many as 88 residential areas were conducted as measurements in this study. The results of this study in 88 residential areas within 16 districts located in Semarang showed that 30 locations are eligible for the establishment of vertical groundwater catchment system with infiltration wells and 3 locations are eligible for the establishment of horizontal catchment system with infiltration trenches.",None,None,None
Bioswale column experiments and simulation of pollutant removal from urban road stormwater runoff,"Li J., Li Y., Zhang J., Li Y.",Desalination and Water Treatment,2016-11-07,0,"Copyright, � 2016 Balaban Desalination Publications. All rights reserved. The concomitant flux of pollutants carried by urban storm water runoff to the surface of water bodies causes a series of environmental issues. Bioswale, which is an effective purification measure of urban surface runoff pollutants, was investigated to determine the relationship between bioswale composition and purification. Results indicate that the pollutant removal rate of bioswales decreases with an increase in influent concentration. Various selected vegetation combinations showed no significant difference in terms of pollutant removal in two months after being planted within a single rainfall. Increasing the thickness of the planting soil and artificial filler layers can improve the contaminant removal rate. Various artificial filler compositions were proven to have different effects on pollutant purification. Planting soil and a mixture of coal ash and sand were the best choice, whereas sand was the worst. The total nitrogen (TN) removal rate increased with submerged zone height, whereas the removal of chemical oxygen demand (COD) and total phosphorus (TP) showed no significant change. The addition of an external carbon source increased TN concentration removal and decreased COD concentration removal without significantly affecting TP. The curve analysis of the pollutant removal rate and various factors was established by processing the statistical results through the SPSS software. The equation of linear regression, which reveals the relationship between the control effect and its influencing factors, was obtained based on the partial least squares model.", Various selected vegetation combinations showed no significant difference in terms of pollutant removal in two months after being planted within a single rainfall,None,None
Plant evaluation and selection for rain gardens in China,"Liu J., Gao Y., Zhang Q., Bai W., Wang Y., Yang M.",Acta Horticulturae,2016-02-08,0,"Copyright, one of the world most water-scare countries, China expands tons of water in urban public landscape spaces. However, on the other hand, due to natural vegetation being replaced by impervious surface, rainwater directly flows into storm sewers with runoff pollutions, and then it drains off into nearby water bodies without treatment, which results in serious waste of rainwater resources and pollution of the river system. During heavy storms the enormous pressure on municipal storm water treatment installations may give rise to urban waterlogging, even serious localised flooding. The contradiction between water shortage and rain water waste has been an increasingly serious problem. To relieve the contradiction, rain gardens can be a valuable part of changing the above matters. As the principal part of a rain garden, plants play a vital role in the rainwater processing system. However, most of the plants applied to rain gardens in western countries cannot adapt to the climate in China. So in the process of rain garden design in China, the evaluation and selection of plants in rain gardens is significant. Two sets of rain gardens were installed with native and prairie plants, respectively, located in northern and southern China with typical climate. On the base of screening plants in the greenhouse with drought, flood and pollution stress, 33 species for Shenzhen and 28 species for Beijing were selected for rain gardens. Ecological index and ornamental index were measured to evaluate and select the plants that grew in rain gardens with the analysis method of AHP. The results indicated that 20 species were separately suited for growing in rain gardens of Shenzhen and Beijing. This would be significant for future work and widely spread application of rain gardens in China."," So in the process of rain garden design in China, the evaluation and selection of plants in rain gardens is significant",None,None
Nitrogen removal by three types of bioretention columns under wetting and drying regimes,"Tang N.-Y., Li T.",Journal of Central South University,2016-02-01,0,"Copyright, 2016, Central South University Press and Springer-Verlag Berlin Heidelberg. The behaviors of inorganic nitrogen species in three types of bioretention columns under an intermittently wetting regime were investigated. The mean NH4 +—N, NO3 −—N and total N (TN) removal efficiencies for the conventional bioretention column (Col. T1) are 71%, 1% and 41%, for layered bioretention column with less permeable soil layer (Col. T2) the efficiencies are 83%, 84% and 82%, and for the bioretention column with submerged zone (Col. T3) the values are 63%, 31% and 53%, respectively. The best nitrogen removal is obtained using Col. T2 with relatively low infiltration rate. Adsorption during runoff dosing and nitrification during the drying period are the primary NH4 +—N removal pathways. Less permeable soil and the elevated outlet promote the formation of anoxic conditions. 30%–70% of NO3 −—N applied to columns in a single repetition is denitrified during the draining period, suggesting that the draining period is an important timeframe for the removal of NO3 −—N. Infiltration rate controls the contact time with media during the draining periods, greatly influencing the NO3 −—N removal effects. Bioretention systems with infiltration rate ranging from 3 to 7 cm/h have a great potential to remove NO3 −—N.",None,None," 30%–70% of NO3 −—N applied to columns in a single repetition is denitrified during the draining period, suggesting that the draining period is an important timeframe for the removal of NO3 −—N"
SWMM-based evaluation of the effect of rain gardens on urbanized areas,"Li J., Li Y., Li Y.",Environmental Earth Sciences,2016-01-01,0,"Copyright, 2015, Springer-Verlag Berlin Heidelberg. Taking an area of Xi’an city as an example, the Storm Water Management Model was established according to the measured data after calibration and validation. Three different return period storms (once in 2 years, once in a decade, and once in 20 years) were designed to simulate the water quantity and quality of the study area with or without rain gardens. Rain gardens with different proportions (1, 2, and 4 %) of the study area were set for simulation and comparison. Finally, the control effects of rain gardens with and without discharge facility were compared. Rain gardens can reduce the total amount and peak flow of urban runoff. Such gardens can also reduce pollutant peak concentration and pollution load. The peak time of flow and concentration can be delayed. However, the control effect or reduction rate of rain gardens will decrease with increasing rainfall intensity. A larger area proportion of rain gardens results in a better control effect on urban runoff. The control effect of rain gardens without discharge facility is better than that of rain gardens with discharge facility under the same conditions of rainfall and area ratio. The control effect difference between rain gardens with and without discharge facility decreases with the increase in the area ratio of rain gardens.",None,None,None
