title,authors,journal,date,cites number,abstract,significant relationship,conclusion,suggestion
Metal accumulation and hydraulic performance of bioretention systems after long-term operation,"Kluge, Björn, Markert, Arvid, Facklam, Michael, Sommer, Harald, Kaiser, Mathias, Pallasch, Matthias, Wessolek, Gerd",Journal of Soils and Sediments,2016-09-04,N/A,"PurposeStormwater bioretention systems are widely used to treat diffuse infiltration of runoff from paved surfaces and roofs. Substantial questions remain about the hydraulic performance and the accumulation of pollutants in systems over the long term. Data of metal accumulation of systems with operational times >10 years currently is limited. This study deals with the accumulation of metals in a variety of long-term operational bioretention systems (11–22 years) to derive further operation recommendations for the water authorities.Materials and methodsThe hydraulic conductivity of the bioretention systems in field was measured using a double ring infiltrometer. Media soil samples from 22 diverse designed systems were collected across the surface and at intervals up to a depth of 65 cm to determine the spatial accumulation of Zn, Cu, Pb and Cd. Leaching experiments of selected bioretention media soils were derived to assess the metal leachability by water.Results and discussionThe hydraulic performance of most bioretention systems still met the technical guidelines of Germany even after long-term operation. Considerable metal accumulation occurred in the topsoil (0–20 cm). Median concentrations of all metals are highest at the soil surface (0–10 cm), decreasing with increasing depth. High concentrations were determined at the inflow points of the runoff waters, whereas concentrations at more than 1.5 m distance from the inflow were only slightly increased compared to the initial soil concentrations. Leachability tests have shown that most of the metals deposited in bioretention soils are only slightly water soluble. No concentrations exceeding the threshold values of the German Soil Contamination Ordinance for the pathway soil to groundwater could be determined.ConclusionsThe hydraulic conductivity of the bioretention systems is given even well after long-term operation. Most of the metal accumulation is concentrated in the top 20 cm; concentrations decrease rapidly and mostly reach background/initial concentrations after depths of 30 cm. The water-soluble metals are all below the trigger values of the German Soil Act. This underlines the strong retention capacity of long-term bioretention systems after long-term operational times.",None,None,None
"Integrating geoscience into undergraduate education about environment, society, and sustainability using place-based learning: three examples","Gosselin, David, Burian, Steven, Lutz, Tim, Maxson, Julie",Journal of Environmental Studies and Sciences,2016-09-01,N/A,"From water to energy, and from climate change to natural hazards, the geosciences (marine, Earth, and atmospheric science) have an important role to play in addressing a wide range of societal issues, with particular relevance to how humans can live sustainably on Earth. Although arguably important to developing solutions for many societal issues, more often than not, students have limited exposure to the geosciences in high school or college. To address this geoscience literacy problem, the Interdisciplinary Teaching of Geoscience for a Sustainable Future (InTeGrate) Talent Expansion Center has engaged members of the geoscience community and their colleagues in allied disciplines to implement and support strategies to teach geoscience in the context of societal issues and vice versa. Place-based learning is a particularly useful educational practice in helping link geoscience concepts to societal issues and other disciplines. The three examples from three distinctly different institutions of higher education—University of Utah, Metropolitan State University, and West Chester University—demonstrate the use of place-based educational strategies to connect the geosciences to societal challenges. Each of these courses uses variations of place-based pedagogy to provide students from a variety of disciplines the opportunity to learn about geoscience concepts in the context of environmental challenges in their own area. Each example describes the course in the context of its institutional setting, student audience, type of course, and learning outcomes; the geoscience-related societal challenges addressed, a description of pedagogical strategies, basic assessment information, and reflections on lessons learned and recommendations. These three examples illustrate that local places—on-campus, the surrounding community, and regional landscapes—provide a plethora of opportunities for students to apply their classroom knowledge to real-world issues. The extent to which an instructor will take advantage of the place-based opportunities is only limited by the imagination of the instructor(s) and the extent to which they want to use these pedagogies to achieve their learning objectives. Teaching geoscience in the context of societal issues using place-based educational practices illuminate the process of geoscience and build interdisciplinary problem-solving skills that connect geoscience to economic, societal, and policy issues related to a range of issues. Students think critically, ask critical questions, reflect and act on viable alternatives, and acquire knowledge, skills, and training so they can make a real difference in the world.",None,None,None
Assessing the societal impacts of green demonstration homes: a Canadian case study,"Rehkopf, Alina, Rowlands, Ian H., Tobert, Danielle","Energy, Sustainability and Society",2016-08-01,N/A,"BackgroundThis article investigates the overall societal impacts of the REEP House for Sustainable Living (REEP House) in Kitchener, Canada.MethodsAvailable information on green demonstration homes (GDHs) is reviewed to identify their goals, past assessment practices and their impacts on different measures ranging from energy consumption to behavioural changes. From this, the need for a multicriteria framework for evaluating GDHs is demonstrated. Drawing upon the GDH experience, the broader impact assessment literature, knowledge gained from community-focused recreational events and information from open eco-homes, such a framework is developed.ResultsThis five category GDH multicriteria framework is then applied to the case of the REEP House. Using both technical data and social data, the results provide unique insights into GDH societal impacts across a variety of areas. The REEP House’s retrofits had significant impacts: reductions of electricity consumption by 41 %, of water consumption by 94 % and of gas consumption by 78 %. Its programming activities also showed noteworthy effects: regarding information distribution, 76 % of visitors felt they had received enough material to improve their own home; and with respect to the overall impact, more than 50 % stated that they were planning to return to the REEP House.ConclusionsThese results are compared with other GDHs’ experiences. In conclusion, lessons are drawn for all GDHs that wish to improve both their assessment procedures and their societal impacts. The limitations of this study are also identified."," The REEP House’s retrofits had significant impacts: reductions of electricity consumption by 41 %, of water consumption by 94 % and of gas consumption by 78 %"," In conclusion, lessons are drawn for all GDHs that wish to improve both their assessment procedures and their societal impacts",None
Estimating stormwater runoff for community gardens in New York City,"Gittleman, Mara, Farmer, Carson J. Q., Kremer, Peleg, McPhearson, Timon",Urban Ecosystems,2016-07-11,N/A,"Community gardens are critical ecological infrastructure in cities providing an important link between people and urban nature. The documented benefits of community gardens include food production, recreational opportunities, and a wide number of social benefits such as improving community stability, reducing crime, and physical and mental health benefits. While much of the literature cites community gardens as providing environmental benefits for cities, there is little empirical evidence of these benefits. Here we examine the stormwater runoff benefits of community gardens by comparing two methods to estimate absorption rates of stormwater runoff in urban community gardens of New York City. The first method uses general land cover classes as determined by a land cover dataset; the second methods adds a land cover specific to community gardens — raised beds, typically used for food production. We find that in addition to the stormwater mitigation performed by pervious surfaces within a garden site, community gardens in New York City may be retaining an additional 12 million gallons (~45 million liters) of stormwater annually due to the widespread use of raised beds with compost as a soil amendment.",None,None,None
"Towards a comprehensive green infrastructure typology: a systematic review of approaches, methods and typologies","Bartesaghi Koc, Carlos, Osmond, Paul, Peters, Alan",Urban Ecosystems,2016-07-09,N/A,"There is no consensus on a comprehensive classification for green infrastructure (GI). This is a consequence of the diversity of disciplines, application contexts, methods, terminologies, purposes and valuation criteria for which a GI typology is required. The aim of this systematic literature review is to evaluate the existing evidence on how GI is being categorised and characterised worldwide. We reviewed a total of 85 studies from 15 countries that were analysed for contextual trends, methods, parameters and typologies. Results show that relevant literature lacks a common terminology and that a universal typology for all scenarios is impractical. Analysis reveals that GI can be organised into four main GI categories: (a) tree canopy, (b) green open spaces, (c) green roofs and (d) vertical greenery systems (facades/walls). Green open spaces and tree canopy attracted the attention of researchers due to their complexity, variability and important roles in GI planning. Evidence suggests that a ternary approach in terms of the functional (purpose, use, services), structural (morphology) and configurational (spatial arrangements) attributes of GI should be applied for a more comprehensive classification. Although this approximation is inherently generic, since it can be used across different research disciplines, it is also sufficiently specific to be implemented for individual scopes, scenarios and settings. Further research is needed to develop a typology capable of responding to particular research aims and performance analyses based upon the findings discussed in this paper.",None,None," Evidence suggests that a ternary approach in terms of the functional (purpose, use, services), structural (morphology) and configurational (spatial arrangements) attributes of GI should be applied for a more comprehensive classification"
Introduction to the special issue on adaptive flood risk management,"O’Hare, Paul, Cavan, Gina, Filho, Walter Leal",Natural Hazards,2016-06-01,N/A,,None,None,None
Sustainable urban drainage systems: examining the potential for green infrastructure-based stormwater management for Sub-Saharan cities,"Mguni, Patience, Herslund, Lise, Jensen, Marina Bergen",Natural Hazards,2016-06-01,N/A,"Green infrastructure (GI)-based approaches to urban drainage such as sustainable urban drainage systems (SUDS) could provide Sub-Saharan cities with an opportunity to address projected climate change impacts and existing deficits in their drainage infrastructure, even more so due to the synergies between an enhanced green infrastructure stock and sustainable urban development. The objective of this paper was to assess the theoretical value of using green infrastructure for stormwater management as an alternative and supplement to conventional pipe-based stormwater management systems. A SWOT analysis is performed to assess the potential that SUDS hold if adopted and implemented in Sub-Saharan cities. This analysis is based on a review of sustainable stormwater management as well as urban planning and governance literature. Results show that despite seemingly significant barriers to the adoption of SUDS in Sub-Saharan cities such as low prioritization on the urban agenda and lack of data among others, the concept may hold valuable potential for flood risk reduction, even more so due to its multi-functionality and synergies with urban agriculture, amenity and water supply. In the light of the existing threats and weaknesses, it is recommended that GI-based SUDS may be best approached initially as experiments at a local community scale."," Results show that despite seemingly significant barriers to the adoption of SUDS in Sub-Saharan cities such as low prioritization on the urban agenda and lack of data among others, the concept may hold valuable potential for flood risk reduction, even more so due to its multi-functionality and synergies with urban agriculture, amenity and water supply",None,None
Urban Stormwater Governance: The Need for a Paradigm Shift,"Dhakal, Krishna P., Chevalier, Lizette R.",Environmental Management,2016-05-01,N/A,"
Traditional urban stormwater management involves rapid removal of stormwater through centralized conveyance systems of curb–gutter–pipe networks. This results in many adverse impacts on the environment including hydrological disruption, groundwater depletion, downstream flooding, receiving water quality degradation, channel erosion, and stream ecosystem damage. In order to mitigate these adverse impacts, urban stormwater managers are increasingly using green infrastructure that promote on-site infiltration, restore hydrological functions of the landscape, and reduce surface runoff. Existing stormwater governance, however, is centralized and structured to support the conventional systems. This governance approach is not suited to the emerging distributed management approach, which involves multiple stakeholders including parcel owners, government agencies, and non-governmental organizations. This incongruence between technology and governance calls for a paradigm shift in the governance from centralized and technocratic to distributed and participatory governance. This paper evaluates how five US cities have been adjusting their governance to address the discord. Finally, the paper proposes an alternative governance model, which provides a mechanism to involve stakeholders and implement distributed green infrastructure under an integrative framework.",None,None,None
Vacant urban lot soils and their potential to support ecosystem services,"Herrmann, Dustin L., Shuster, William D., Garmestani, Ahjond S.",Plant and Soil,2016-04-04,N/A,"AimsUrban soils are the basis of many ecosystem services in cities. Here, we examine formerly residential vacant lot soils in Cleveland, Ohio and Detroit, Michigan, USA for their potential to provide multiple ecosystem services. We examine two key contrasts: 1) differences between cities and 2) differences within vacant lots created during demolition, specifically pre-existing (i.e., prior to demolition) soils outside of the building footprint and fill soils added within the former building’s footprint.MethodsDeep soil cores were collected from vacant lots in Cleveland and Detroit. Soil properties that are proxies for three ecosystem services were measured: hydraulic conductivity for stormwater retention, topsoil depth and soil nitrogen (N) level for support for plant growth, and soil carbon (C) content for C storage.ResultsBoth city and soil group contrasts created distinct ecosystem service provisioning based on proxy measures. Cleveland soils had greater hydraulic conductivity and greater soil C and N levels but thinner topsoil layers than Detroit. Within vacant lots of both cities, pre-existing soils had greater soil C and N levels, but lower hydraulic conductivity values than fill soils.ConclusionsSoil properties of vacant lots were generally suitable for providing multiple ecosystem services. City-level differences in soil properties created differences in ecosystem service potential between cities and these differences were evident in pre-existing and fill soils. When comparing between cities, though, fill soils were more similar than pre-existing soils indicating some homogenization of ecosystem service potential with greater redistribution of soil.",None,None,None
Retrofitting LID Practices into Existing Neighborhoods: Is It Worth It?,"Wright, Timothy J., Liu, Yaoze, Carroll, Natalie J., Ahiablame, Laurent M., Engel, Bernard A.",Environmental Management,2016-04-01,N/A,"
Low-impact development (LID) practices are gaining popularity as an approach to manage stormwater close to the source. LID practices reduce infrastructure requirements and help maintain hydrologic processes similar to predevelopment conditions. Studies have shown LID practices to be effective in reducing runoff and improving water quality. However, little has been done to aid decision makers in selecting the most effective practices for their needs and budgets. The long-term hydrologic impact assessment LID model was applied to four neighborhoods in Lafayette, Indiana using readily available data sources to compare LID practices by analyzing runoff volumes, implementation cost, and the approximate period needed to achieve payback on the investment. Depending on the LID practice and adoption level, 10–70 % reductions in runoff volumes could be achieved. The cost per cubic meter of runoff reduction was highly variable depending on the LID practice and the land use to which it was applied, ranging from around $3 to almost $600. In some cases the savings from reduced runoff volumes paid back the LID practice cost with interest in less than 3 years, while in other cases it was not possible to generate a payback. Decision makers need this information to establish realistic goals and make informed decisions regarding LID practices before moving into detailed designs, thereby saving time and resources.",None,None,None
Integrated simulation method for waterlogging and traffic congestion under urban rainstorms,"Su, Boni, Huang, Hong, Li, Yuntao",Natural Hazards,2016-03-01,N/A,"Heavy rainstorms are increasingly frequent events in urban areas. Urban rainstorms lead to road waterlogging and low visibility, which affect drivers’ behavior and can thus cause traffic congestion and potential accidents. It is important to study the mechanisms of waterlogging and traffic congestion caused by rainstorms to more effectively predict them and reduce losses. In this paper, an integrated simulation method to analyze the influence of urban rainstorms on waterlogging and traffic congestion was developed. Firstly, waterlogging simulation was conducted to predict the spatiotemporal distribution of water depth on roads based on an urban storm water model. Secondly, psychological questionnaires were distributed to study the drivers’ behavior during a rainstorm. Based on the psychological questionnaires’ results, the vehicles’ speed was estimated under different water depth and visibility conditions. Finally, a microscopic traffic simulation was carried out to predict the traffic condition using the results of the previous two parts. Case studies were conducted on a simplified road model. The effects of different parameters on waterlogging and traffic congestion were analyzed. Then the method was applied to an actual urban area in Beijing, and a detailed waterlogging situation and traffic situation were obtained. Alternate future scenarios of adding drains to mitigate waterlogging and traffic congestion during heavy rainstorms were simulated, and the method’s potential to assist in decision making for urban drainage system design was shown. The integrated simulation method is helpful for early warning and risk management of urban rainstorms on waterlogging and traffic congestion.",None,None,None
Doing the Hard Work Where it’s Easiest? Examining the Relationships Between Urban Greening Programs and Social and Ecological Characteristics,"Locke, Dexter H., Grove, J. Morgan",Applied Spatial Analysis and Policy,2016-03-01,N/A,"In this paper we examine the performance of formal programs associated with tree plantings in Washington, D.C. and Baltimore, MD to understand the relationships between the implementation of urban greening programs and the social and ecological characteristics of a city. Previous research has examined variations in patterns of existing and possible tree canopy cover relative to different social theories. Less attention has been paid to the processes of how the current patterns of tree canopy cover have developed. The goal of this paper is to address this gap by examining current programs to increase tree canopy. This paper utilizes public records, administrative data, a geodemographic market segmentation database, and high-resolution land cover data to assess where programs work, who participates in these programs, and whom the programs fail to reach. Recruiting households to plant trees can be hard work. In this paper, we find that programs might be most successful where it is easiest but have the lowest need. Free or reduced-cost programs for tree planting on private lands were most effective in the most affluent neighborhoods of Washington, D.C. and Baltimore, MD. These areas tended to also have the most existing tree canopy on both private residential lands and the public right of way. An outcome of this research is a framework for further testing which land management strategies are most effective, where, and with whom in order to improve the ability to plan and enhance urban sustainability and resilience through urban forestry.","In this paper we examine the performance of formal programs associated with tree plantings in Washington, D",None,None
Adaptive governance to promote ecosystem services in urban green spaces,"Green, Olivia Odom, Garmestani, Ahjond S., Albro, Sandra, Ban, Natalie C., Berland, Adam, Burkman, Caitlin E., Gardiner, Mary M., Gunderson, Lance, Hopton, Matthew E., Schoon, Michael L., Shuster, William D.",Urban Ecosystems,2016-03-01,N/A,"Managing urban green space as part of an ongoing social-ecological transformation poses novel governance issues, particularly in post-industrial settings. Urban green spaces operate as small-scale nodes in larger networks of ecological reserves that provide and maintain key ecosystem services such as pollination, water retention and infiltration, and sustainable food production. In an urban mosaic, a myriad of social and ecological components factor into aggregating and managing land to maintain or increase the flow of ecosystem services associated with green spaces. Vacant lots (a form of urban green space) are being repurposed for multiple functions, such as habitat for biodiversity, including arthropods that provide pollination services to other green areas; to capture urban runoff that eases the burden on ageing wastewater systems and other civic infrastructure; and to reduce urban heat island effects. Because of the uncertainty and complexities of managing for ecosystem services in urban settings, we advocate for a governance approach that is adaptive and iterative in nature—adaptive governance—to address the ever changing social order underlying post-industrial cities and offer the rise of land banks as an example of governance innovation."," In an urban mosaic, a myriad of social and ecological components factor into aggregating and managing land to maintain or increase the flow of ecosystem services associated with green spaces",None,None
"Human adaptations in food, energy, and water systems","Irwin, Elena, Campbell, Joseph, Wilson, Robyn, Faggian, Alessandra, Moore, Richard, Irwin, Nicholas",Journal of Environmental Studies and Sciences,2016-03-01,N/A,"The impacts of recent natural disasters highlight the hidden vulnerabilities in society’s food, energy, and water systems and the potential for climate change to amplify these social liabilities. Some have pointed to technological solutions to reduce vulnerabilities and to build resiliency into food, energy, and water systems (FEWS). While technological advances to upgrade human systems, e.g., in agriculture, urban planning, pollution abatement, and green energy development, are critical, these technical advances are insufficient on their own. Effective FEWS management depends on understanding human decision-making, including adaptations to new environmental, social, or economic changes and the responses of individuals and communities to new technologies intended to improve FEWS resilience and sustainability. This paper draws on multiple social science perspectives, including decision science, economics, and sociology, to consider the fundamental role that human behavior and adaptations play in FEWS. We discuss the importance of accounting for human behavior within a coupled human-natural systems framework in which a range of human adaptations and feedbacks are considered, including how humans might respond directly to press-pulse dynamics and indirectly through their adoption of new technology. Following a brief summary of key concepts of decision-making theory at individual and community scales, we then focus on migration and land use changes, the two types of human adaptations that are particularly important for FEWS modeling and management. The paper concludes with a discussion of key knowledge gaps and research needs in the social sciences related to human adaptations in the context of FEWS.",None, The paper concludes with a discussion of key knowledge gaps and research needs in the social sciences related to human adaptations in the context of FEWS,None
Nitrogen removal by three types of bioretention columns under wetting and drying regimes,"Tang, Ning-yuan, Li, Tian",Journal of Central South University,2016-02-01,N/A,"The behaviors of inorganic nitrogen species in three types of bioretention columns under an intermittently wetting regime were investigated. The mean NH4+—N, NO3−—N and total N (TN) removal efficiencies for the conventional bioretention column (Col. T1) are 71%, 1% and 41%, for layered bioretention column with less permeable soil layer (Col. T2) the efficiencies are 83%, 84% and 82%, and for the bioretention column with submerged zone (Col. T3) the values are 63%, 31% and 53%, respectively. The best nitrogen removal is obtained using Col. T2 with relatively low infiltration rate. Adsorption during runoff dosing and nitrification during the drying period are the primary NH4+—N removal pathways. Less permeable soil and the elevated outlet promote the formation of anoxic conditions. 30%–70% of NO3−—N applied to columns in a single repetition is denitrified during the draining period, suggesting that the draining period is an important timeframe for the removal of NO3−—N. Infiltration rate controls the contact time with media during the draining periods, greatly influencing the NO3−—N removal effects. Bioretention systems with infiltration rate ranging from 3 to 7 cm/h have a great potential to remove NO3−—N.",None,None," 30%–70% of NO3−—N applied to columns in a single repetition is denitrified during the draining period, suggesting that the draining period is an important timeframe for the removal of NO3−—N"
